target,mae,rmse,r2,mape,bias,explained_variance
Organic_Carbon,0.7917262595076195,1.0386136056407427,-0.06538735360680542,135.17624899323977,0.05049794181423996,-0.043546918836076365
EC,0.14398915285300537,0.24068168239154467,-0.09894195616833096,95.98846407375542,0.009072480917386144,-0.06333801888269414
pH,0.6658689686569251,0.8098160917306091,-0.264260273594941,11.582929724114264,-0.03721400542646494,-0.07269718072407466
S,18.380549901857126,26.50671002914073,-0.26573019953950505,300.6691359919414,0.33335534103948183,-0.09009732764144707
K,154.47916358930172,191.117275971901,-0.3830062462987852,77.53564929625946,33.06767539345498,-0.04248221228770993
P,42.0717589437215,51.62570263799448,-0.7051938545065995,193.74267667003286,7.9280047719550755,-0.04955938160363066
Mg,115.71557731545062,136.56408492481393,-1.1427039667803827,133.05238572390095,6.467277872986369,-0.07089279896156803
Ca,323.67196559769667,375.3117771839155,-1.171891199246044,166.68044830091753,9.62913661493976,-0.08164355216227842
B,0.6146067713546004,0.7928145372782623,-2.6805716749886206,668.0733603005926,0.2635967631683235,-1.0258022115696175
Cu,2.1590742803120113,2.7140387932503915,-2.7818409555656265,1240.7848023400609,0.019472254988927573,-0.35065790135477415
Fe,33.81633391996367,42.62554001653822,-7.683189789972178,271.90559721740095,-1.0198523490210007,-0.44388269751644704
Mn,24.127510879347575,29.574215862168092,-8.690903032059632,223.50711814571443,-0.13781575004091673,-0.3495732751916235
Zn,5.072471600579556,5.966214908092198,-69.16029443201549,593.9122196413376,0.07209221128724219,-2.250532382094161
