feature,importance
Elevation,0.16030228485953127
NDWI,0.14772856963205203
NDVI,0.146337329547565
Rainfall,0.14519429213749313
Aspect,0.13531744083278238
Slope,0.09279474201423218
Soil_Moisture,0.08505876829473848
Temperature_C,0.08435275742578535
LULC,0.0029138152558202002
