model,target,fold,test_blocks,n_train,n_test,mae,rmse,r2,mape,bias,explained_variance
XGBoost,Zn,2,Vazhoor,3857,1051,5.316555873475942,6.819437908805092,-1.5652491798979558,79.1038253973668,-5.012424104158628,-0.17936155095876027
XGBoost,Zn,3,Chelannur,3906,1002,4.587504256003631,5.154719707208247,-1.336813969960423,210.1631856769812,3.6541778241505405,-0.16247523655340945
XGBoost,Zn,4,Nedumangad,3909,999,4.6763600286571085,6.223184306702335,-1.1288333538510988,68.18704139116021,-4.473775648244506,-0.02865083044724015
XGBoost,Cu,1,Pampady,3052,1856,3.5161259701787535,3.649943506115953,-9.365079261092916,4824.379574159849,3.349521929553987,-0.6360491126646359
XGBoost,Cu,2,Vazhoor,3857,1051,2.113319374674064,3.009111000986735,-1.1426668913180582,64.29472107759028,-1.5001203992734393,-0.610153571017499
XGBoost,Cu,3,Chelannur,3906,1002,1.3198649849140358,1.9198102688864842,-0.14042946537339618,59.944573055091986,-0.5303450019401823,-0.05339950822584605
XGBoost,Cu,4,Nedumangad,3909,999,1.9301717735643316,2.66816145750497,-1.0333636604565677,67.36271057949814,-1.887370421255177,-0.015932266566490272
XGBoost,B,1,Pampady,3052,1856,0.8309943374464859,1.1154293380398739,-0.23379896323700833,1587.6584617794392,0.3580092567462466,-0.10669801615492847
XGBoost,B,2,Vazhoor,3857,1051,1.4363436345804892,1.7158074442123077,-7.3152685872618335,449.7940601660242,0.9931666654866265,-4.529253555487669
XGBoost,B,3,Chelannur,3906,1002,0.29413114681319674,0.37786919016089543,-5.478246251893065,506.7386158433674,0.23053004854155879,-3.06706659859114
XGBoost,B,4,Nedumangad,3909,999,0.294400761764484,0.41200919331638847,-1.090513781128215,64.10567729490653,-0.27733018475723825,-0.1433316346774467
